genre,style,country,mood,biography
,,,,"Swedish producer/composer/artist/vocalist Christian Falk returns with his second solo album. ""People Say"", the follow-up to ""Quel Bordel"" (released in 1999). Guests on ""People Say"" include Robyn, Christian's daughter Vanessa, Ola Salo of much-talked-about glamrockers The Ark, and the very same Demetrius that was featured on Christianís year 2000 European smash hit ""Make It Right"". Falk was through the 90's mainly a producer/remixer working in his native Stockholm but also in New York with clients including Puff Daddy, Notorious B.I.G, Youssou N'Dour, Neneh Cherry, Shabba Ranks and Robyn.  In 1999 Falk returned to being a performing artist in conjunction with the ""Quel Bordel"" album (in the late 80's he was a member of the then biggest Swedish rock combo, Imperiet). But beside a couple of concept soul/jazz albums under the moniker ""Swedish Open"" it took until 2006 to finalize an album's worth of material."
Indie Rock,Rock/Pop,"Joshua Tree, California, USA",,"Gram Rabbit is an indie rock band based in Joshua Tree, California. The group consists of singer/keyboardist/bassist/guitarist Jesika von Rabbit, guitarist/bassist/programmer/singer Todd Rutherford, drummer Jason Gilbert and guitarist/producer Ethan Allen. Their musical style has been described as an amalgamation of psychedelic rock and electropop. Their fanbase is sometimes referred to as a self-styled ""cult"" called The Royal Order of Rabbits."
Alternative Rock,,,,"Blueline Medic are a four piece rock band from Melbourne, Australia.

The group formed in mid-1999 after the downfall of bands Caustic Soda and Mid Youth Crisis from which guitarists Donnie Dureau and Adrian Lombardi were members. In forming the initial lineup they were joined on bass by Dave Snow, formerly of The Bradshaw Figure, and Lachlan Hodgson, who drummed for Caustic Soda, and recorded their first EP, A Working Title In Green, released on Sony.

Shortly after the release, Hodgson left the band and they were dropped by Sony. Shaun Lohoar (who has also played in a number of Melbourne-based bands, most notably Pollyanna) was recruited as the new drummer.

After being signed by Fueled by Ramen (who then licensed their albums to Redline Records for release in Australia), the band released their debut album, The Apology Wars in 2001. The album included the lead single ""Making the Nouveau Riche"" which was voted into the No. 68 position in the Triple J Hottest 100, 2001. Subsequent releases have included a 12 track compilation with Midtown, The Movielife and Secondbest, their second album Text Bomb in 2003 and a 6-track split EP in 2005 with Ted Leo and the Pharmacists (who subsequently supported Blueline Medic on an Australian tour) on Casadeldisco Records. 2007 saw the release of their third album 42:19.

In 2008, Blueline Medic joined Melbourne label Hobbledehoy Record Co. and released The Middle Of The End 7"", whom later released 42:19 on vinyl and the CD format (outside of Australia).

The group are currently taking a break. Their last show played was in January 2009, in Brisbane. For this show, Donnie and Adrian played an acoustic set. In July 2010, they played their first show in 18 months at their spiritual home at The Arthouse, Melbourne.

On New Year's Eve 2011/2012, the band played an unannounced 4 song set (with fill-in drummer Chris Cowburn from The Smith Street Band).

On 13 September 2013, the band played at The Reverence Hotel as part of the Poison City Weekender."
R&B,,"London, England",,"""Delilah"" is an urban singer-songwriter from London, UK. ""Delilah"" Paloma Ayana Stoecker (born 23 September 1990), who records under the mononym Delilah, is a British singer-songwriter. Born in Paris, France, Delilah moved to Hackney, London, England at an early age where she later attended City and Islington College. After sending demos to Island Records she caught the attention of industry executives at major record labels and signed to Atlantic Records at the age of seventeen."
Indie,Rock/Pop,"Bellingham, USA",,"Death Cab for Cutie is an American alternative rock band formed in Bellingham, Washington in 1997. The band consists of Ben Gibbard (vocals, guitar, piano), Chris Walla (guitar, production, keyboards), Nick Harmer (bass) and Jason McGerr (drums). Death Cab for Cutie's music has been labeled as indie rock, indie pop, emo, and alternative rock, and is noted for its use of unconventional instruments as well as Gibbard's unique lyrical style. The band has released seven studio albums, five EPs, and one demo to date. The group takes its name from a song featured in The Beatles' 1967 film, Magical Mystery Tour.
Gibbard's first album, You Can Play These Songs with Chords, was released as a demo, leading to a record deal with Barsuk Records. It was at this time that Gibbard decided to expand the project into a complete band, and recruited band members to join. In 1998, the band released its debut album, Something About Airplanes, followed by We Have the Facts and We're Voting Yes in 2000; both records were positively received in the indie community. Lineup changes ensued both before and after the release of the The Photo Album (2001), and the group's album Transatlanticism (2003) gained the band commercial success. After signing with Atlantic Records, Death Cab For Cutie released Plans in 2005, which contained the singles ""Soul Meets Body"" and ""Crooked Teeth"". The 2007 record Narrow Stairs served as a stylistic departure for the group. The band released their seventh album, Codes and Keys, on May 31, 2011."
Rock,Rock/Pop,"Melbourne, Australia",,"Not Drowning, Waving (styled as not drowning, waving) were a musical group formed in Melbourne, Australia in 1983 by David Bridie and John Phillips. Their music combined elements of rock, ambient music and world music; their lyrics dealt with characteristically Australian topics: word-pictures of landscapes and people, the seasons, and some political issues – such as Indonesia's invasion of East Timor. The group released nine albums and soundtracks until disbanding in 1994, they briefly reformed in 2001, 2003 and 2005–2006. From 2005 to 2007, they issued two compilation albums and a live album. Not Drowning, Waving won the 'Best Independent Release' at the ARIA Music Awards of 1992 for Proof, their soundtrack for the 1991 film of the same name. In 1991, Bridie and fellow members of Not Drowning, Waving, formed a side-project, My Friend The Chocolate Cake to play more acoustic-based material."
Alternative Rock,Rock/Pop,"Finley, Australia",,"Spiderbait are an Australian alternative rock band formed in Finley in 1989 by bass guitarist Janet English, singer-drummer Mark Maher (better known as Kram), and guitarist Damian Whitty. In 2004 the group's cover version of the 1930s Lead Belly song ""Black Betty"" reached number one on the ARIA Singles Chart. They have five top 20 albums: The Unfinished Spanish Galleon of Finley Lake (1995), Ivy and the Big Apples (1996), Grand Slam (1999), Tonight Alright (2004), and Greatest Hits (2005). The group have won two ARIA Music Awards with the first in 1997 as 'Best Alternative Release' for Ivy and the Big Apples and the second in 2000 as 'Best Cover Art' for their single ""Glokenpop"". Since late 2004, the band has been on hiatus to concentrate on solo projects and their personal lives – although periodically returning for occasional gigs."
Psychedelic Rock,Punk,"Edinburgh, Scotland, UK",Gritty,"Django Django are a British psychedelic quartet. The band consists of David Maclean (drummer and producer), Vincent Neff, (singer and guitarist), Jimmy Dixon, (bassist) and Tommy Grace (synth operator). They are signed to Because Music.
The quartet, who met at art school in Edinburgh, formed in 2009. They released their self-titled debut album on 30 January 2012 featuring already released singles ""Waveforms"" and ""Default"".
The Guardian gave the album 5 stars out of 5 whilst NME rated the album 8 out 10. Tuppence Magazine gave the album 4.5 out of 5, describing it as ""a new modern classic"" referencing the innovative use of African sounds and musical fusion.
The debut album reached number 33 on the UK album charts in the first week of release.
""Our name has absolutely nothing to do with Django Reinhardt"", writes the band (nicknamed djangovideo for their own account at YouTube) beneath the video post for this track."
Indie Pop,Rock/Pop,,,"Taylor Gayle Rutherford (born July 8, 2004), known professionally as Gayle, is an American singer-songwriter born in Dallas, Texas. After signing with Atlantic Records, she released the chart topping single ABCDEFU which was released on August 13 2021 and reached number one on the iTunes chart in December.

Gayle was born on July 8, 2004, in Dallas, Texas. She started singing when she was seven and, eventually, moved to Nashville, Tennessee to pursue a musical career. After releasing several self-produced singles, she was discovered by former American Idol judge and Arthouse music publisher Kara DioGuardi and was signed to Atlantic Records."
Rock,,Western Australia,,"The original line-up consisted of David McComb on vocals and guitar, Alsy MacDonald on drums (both of whom had been members of The Triffids), Phil Kakulas on bass guitar (an ex-member of Martha's Vineyard), Rob Snarski (ex-Chad's Tree) on vocals and guitar, and Ross Bolleter on organ and accordion.
Current members:
Phil Kakulas - double bass, songwriting
Rob Snarski - vocals, guitar, songwriting
Kiernan Box - piano, organ, harmonica
Dan Luscombe - guitar
Mark Dawson - drums
J P Shilo - guitar, accordion, violin"
Hardcore Punk,Punk,"Watford, Hertfordshire, England",Angry,"Gallows are a hardcore punk band from Watford Hertfordshire, England, formed in 2005. They consist of Stuart Gili-Ross (bass), Laurent Barnard (guitar), Lee Barratt (drums), and Wade MacNeil (vocals). They were signed to Warner Bros.

Gallows released their debut album, Orchestra of Wolves, in 2006. It was distributed in the United States by independent label Epitaph in 2007. Epitaph founder and Bad Religion guitarist Brett Gurewitz called it the best hardcore album since Refused’s The Shape of Punk to Come. In January 2008, the band’s show at the House of Blues in Anaheim, California was canceled after Disney chose to ban them from performing—reportedly after listening to Orchestra of Wolves.

A second album by Gallows was first hinted by ex-vocalist Frank Carter during an interview with NME, where he stated that because Gallows was “a hobby I get paid for,” the band would likely be defunct by 2010. However, he confirmed that during this period, the band would record up to two additional albums.

Gallows released their major label debut, Grey Britain, on May 2, 2009. It was recorded by Garth Richardson. It debuted at #20 in the UK album chart. Frank Carter explained the premise of the album in an interview with Kerrang!: “Britain is fucked. Grey Britain is all about what’s going on socially, politically and economically in the UK and how it affects us.”

Upon its release, Grey Britain garnered almost unanimous praise from critics. Drowned in Sound commented that “the music rockets from intentionally rudimentary knuckle-whiteners to ambitious-of-design affairs that reconfigure one’s opinions on a band previously seen as a straight-up hardcore act.” The Guardian called the album “a recipe for depression, frustration and anger, as a whole generation has been brought up in a materialistic, consumerist world that has now receded out of reach.”

On the 8th July 2011, Frank Carter had confirmed he had left Gallows.

“It is with a heavy heart that I have to announce my departure from Gallows. It seems that Gallows have hit a crossroads in our writing process and unfortunately myself and the rest of the boys have different ideas regarding the sound of Gallows going forward. Gallows have decided they are going to continue on without me and I wish the boys the best of luck for the future. Gallows will be fulfilling all of our current touring plans until August 1st so please come down to a show and help me make each show a total celebration!”

Frank is now in Pure Love, a band which consists of himself and Jim Carroll (Suicide File, Hope Conspiracy)

Gallows have replaced Frank with ex-Alexisonfire guitarist/vocalist Wade MacNeil, and are set to release an EP called Death Is Birth in December 2011."
Soul,Urban/R&B,"Kansas City, USA",,"Janelle Monáe is an American singer, songwriter, actress, and producer known for her eclectic sound and innovative artistry. Blending genres like R&B, funk, hip hop, and soul, Monáe's music is characterized by its futuristic themes and thought-provoking lyrics. She made her mark with her debut studio album, The ArchAndroid (2010), which was acclaimed for its ambitious concept and genre-blending style. Her subsequent albums, The Electric Lady (2013) and Dirty Computer (2018), continued to showcase her unique artistic vision, with the latter earning a Grammy nomination for Album of the Year.

In 2023, Monáe released her latest album, The Age of Pleasure, which explores themes of joy, liberation, and self-discovery. This album marks a vibrant new chapter in her musical journey, blending Afrobeat, reggae, and funk influences to create a sound that celebrates the beauty of being unapologetically oneself.

In addition to her musical career, Monáe is an accomplished actress, appearing in acclaimed films such as Moonlight (2016) and Hidden Figures (2016). She is also an outspoken advocate for social justice, using her platform to speak on issues of race, gender, and LGBTQ+ rights.

Known for her dynamic live performances and distinctive style, Janelle Monáe is a true visionary who continues to push the boundaries of music and culture."
Hard Rock,Rock/Pop,"Alberta, Canada",Troubled,"Nickelback is a Canadian rock band formed in 1995 in Hanna, Alberta, Canada. The band is composed of guitarist and lead vocalist Chad Kroeger, guitarist, keyboardist and backing vocalist Ryan Peake, bassist Mike Kroeger, and drummer Daniel Adair. The band went through a few drummer changes between 1995 and 2005, achieving its current form when Adair replaced drummer Ryan Vikedal.
Nickelback is one of the most commercially successful Canadian groups, having sold more than 50 million albums worldwide and ranking as the eleventh best-selling music act, and the second best-selling foreign act in the U.S. of the 2000s, behind The Beatles. Billboard ranks them the most successful rock group of the decade; their song ""How You Remind Me"" was listed as the best-selling rock song of the decade and the fourth best-selling of the decade. They were listed number seven on the Billboard top artist of the decade, with four albums listed on the Billboard top albums of the decade.
The band signed with Roadrunner Records in 1999 and re-released their once-independent album The State. The band achieved commercial success with the release of their 2000 album The State and then they achieved mainstream success with the release of their 2001 album Silver Side Up. Following the release of Silver Side Up the band released their biggest and most known hit today, ""How You Remind Me"" which peaked number 1 on the American and Canadian charts at the same time. Then, the band's fourth album The Long Road (2003) spawned 5 singles and continued the band's mainstream success with their hit single ""Someday"" which peaked at number 7 on the Billboard Hot 100 and number 1 at the Canadian Singles Chart. Afterwards, the band put out their biggest album to date, All The Right Reasons (2005) which produced 3 top 10 singles and 5 top 20 singles, on the Billboard Hot 100 example of songs like ""Photograph"", ""Far Away"", and ""Rockstar"". The band's album Dark Horse (2008) was a success which produced eight singles, one of which peaked on the top 10 on the Billboard Hot 100 and two of which peaked on the top 20 on the Billboard Hot 100. In 2011, the band released their seventh album Here and Now which again topped the charts. Their eighth studio album No Fixed Address was released on 17 November 2014.
The band is based in Vancouver, Canada. The band's original domestic signing was with EMI Canada. They subsequently obtained an American deal with global distribution via Roadrunner Records. For the release of their seventh album, the band parted from EMI Canada and signed a new Canadian domestic distribution deal with Universal Music Canada."
Alternative Rock,Rock/Pop,"Los Angeles, California, USA",Cheerful,"Foster the People is an American indie pop band formed in Los Angeles, California in 2009. The group is composed of Mark Foster (vocals, keyboards, piano, synthesizers, guitar, programming, percussion), Cubbie Fink (bass and backing vocals), and Mark Pontius (drums, extra percussion). The group's music, described as melodic dance-infused pop and rock, spans many genres.
Foster founded the band in 2009 after spending several years in Los Angeles as a struggling musician and working as a commercial jingle writer. After Foster's song ""Pumped Up Kicks"" became a viral success in 2010, the group received a record deal from Startime International and gained a fanbase through small club shows and appearances at the music festivals Coachella and South by Southwest. 
After releasing their debut album Torches in May 2011, ""Pumped Up Kicks"" became a crossover hit on commercial radio in mid-2011, reaching number one on Billboard's Alternative Songs chart, number three on the Rock Songs chart, and number three on the Billboard Hot 100, while charting on the Adult Top 40 and Mainstream Top 40 charts. The group received two Grammy Award nominations for Torches and ""Pumped Up Kicks""."
Indie,Rock/Pop,"Sheffield, England",Philosophical,"Arctic Monkeys are an English indie rock band. Formed in 2002 in High Green, a suburb of Sheffield, the band currently consists of Alex Turner (lead vocals, lead/rhythm guitar), Jamie Cook (rhythm/lead guitar), Nick O'Malley (bass guitar, backing vocals) and Matt Helders (drums, backing vocals). Former members include Andy Nicholson (bass guitar, backing vocals) and Glyn Jones (lead vocals, rhythm guitar).

The band have released four studio albums: Whatever People Say I Am, That's What I'm Not (2006), Favourite Worst Nightmare (2007), Humbug (2009) and Suck It and See (2011), as well as one live album At the Apollo (2008). The band's debut album became the fastest-selling debut album in British music history, surpassing Oasis' Definitely Maybe and remains the fastest-selling debut album for a band in the UK.
Arctic Monkeys were heralded as one of the first group of acts to come to the public attention via the Internet (fan-based sites rather than from the band), with commentators suggesting they represented the possibility of a change in the way in which new bands are promoted and marketed. The band are also regarded as one of the most prominent bands to be part of the post-punk revival in the UK, after achieving commercial success and spawning two number one singles with their debut album.

The band began rehearsing at Yellow Arch Studios in Neepsend, and played their first gig on 13 June 2003 at The Grapes in Sheffield city-centre. After a few performances in 2003, the band began to record demos at 2fly studios in Sheffield. 17 songs were demoed in all and the collection, now known as Beneath the Boardwalk, was burned on to CDs to give away at gigs, which were promptly file-shared amongst fans. The name Beneath the Boardwalk originated when the first batch of demos were sent around. The first sender, wanting to classify the demos, named them after where he received them, the Boardwalk. Slowly, as more demos were spread, they were all classified under this name. This has led to many people falsely believing that Beneath the Boardwalk was an early album, or that the early demos were all released under this heading. The group did not mind the distribution, saying ""we never made those demos to make money or anything. We were giving them away free anyway - that was a better way for people to hear them."", admitting that they did not even know how to get their songs onto the Internet. When asked about the popularity of the band's MySpace site in an interview with Prefix Magazine, the band said that they were unaware what it was, and that the site had originally been created by their fans.
The band began to grow in popularity across the north of England, receiving attention from BBC Radio and the British tabloid press. A local amateur photographer, Mark Bull, filmed the band's performances and made the music video ""Fake Tales of San Francisco"", releasing it on his website, alongside the contents of Beneath the Boardwalk - a collection of the band's songs which he named after a local music venue. In May 2005, Arctic Monkeys released their first single, Five Minutes with Arctic Monkeys on their own 'Bang Bang' label, featuring the songs ""Fake Tales of San Francisco"" and ""From the Ritz to the Rubble"". This release was limited to 500 CDs and 1,000 7"" records, but was also available to download from the iTunes Music Store. Soon after, the band played at the Carling Stage of the Reading and Leeds Festivals, reserved for less known or unsigned bands. Their appearance was hyped by much of the music press and the band was watched by an unusually large crowd."
Alternative Rock,Rock/Pop,"Santa Monica, CA",,"Mazzy Star is an American alternative rock band formed in Santa Monica, California, in 1989 from the group Opal, a collaboration of guitarist David Roback and bassist Kendra Smith. Roback's friend Hope Sandoval became the group's vocalist when Smith left the band.

Mazzy Star is probably best known for the song ""Fade into You"" which brought the band some success in the mid-1990s and was the group's biggest mainstream hit, earning extensive exposure on MTV, VH1, and radio airplay. Roback and Sandoval are the creative center of the band, with Sandoval as lyricist and Roback as composer of the majority of the band's material."
Indie Pop,,"El Paso, USA",,"Cigarettes After Sex is an American ambient pop musical group led by Greg Gonzalez, founded in El Paso, Texas in 2008. Gonzalez recorded the first EP, I., in a four-story stairway at his alma mater, University of Texas at El Paso. Gonzalez relocated to Brooklyn, NY where the band's single, ""Affection"", was recorded and released in 2015 along with a cover of REO Speedwagon's ""Keep On Loving You"".

Through music recommendations, Cigarettes After Sex has gained millions of views on YouTube leading to live performances across Europe & the US.

http://cigarettesaftersex.bandcamp.com/ ."
Grunge,Rock/Pop,"Seattle, Washington, USA",Gritty,"Soundgarden was an American rock band formed in Seattle, Washington, in 1984 by singer and drummer Chris Cornell, lead guitarist Kim Thayil (both of whom are the only members to appear in every incarnation of the band), and bassist Hiro Yamamoto; Cornell switched to rhythm guitar in 1985, replaced on drums initially by Scott Sundquist, and later by Matt Cameron in 1986. Yamamoto left in 1990 and was replaced initially by Jason Everman and shortly thereafter by Ben Shepherd. The band dissolved in 1997 and re-formed in 2010. Following Cornell's death in 2017 and a year of uncertainty regarding the band's future, Thayil declared in October 2018 that Soundgarden had disbanded once again, though they did reunite in January 2019 for a one-off concert in tribute to Cornell.

The band helped to popularize grunge music, a style of alternative rock that developed in the American Pacific Northwest in the mid-1980s, alongside such Seattle contemporaries as Alice in Chains, Pearl Jam, and Nirvana. They were the first of a number of grunge bands to sign to the Seattle-based record label Sub Pop, through which they released EPs in both 1987 and 1988. California-based independent label SST Records released Soundgarden's debut album, Ultramega OK, which, although it did not sell well nationally, garnered critical acclaim and was nominated for a Grammy award in 1990. Their second album, Louder Than Love, was recorded independently, but, after they signed with A&M Records in 1989 (making them one of the first grunge bands to sign to a major label), the album became their major-label debut. While Ultramega OK had failed to chart and Louder Than Love peaked at number 108 on the Billboard 200 album chart, the band's third album, Badmotorfinger, buoyed by the success of the singles ""Jesus Christ Pose"", ""Outshined"", and ""Rusty Cage"", reached number 39 on the Billboard 200 and has been certified double-platinum by the RIAA.

Soundgarden achieved its biggest success with the 1994 album Superunknown, which debuted at number one on the Billboard 200 and yielded the Grammy Award-winning singles ""Spoonman"" and ""Black Hole Sun"". The band experimented with new sonic textures on their follow-up album Down on the Upside, which debuted at number 2 on the Billboard 200 in 1996 and spawned several hit singles of its own, including ""Burden in My Hand"" and ""Blow Up the Outside World"". In 1997, the band broke up due to internal strife over its creative direction and exhaustion from touring. After more than a decade of working on projects and other bands, they reunited in 2010, and Republic Records released their sixth and final studio album, King Animal, two years later.

As of 2019, Soundgarden had sold more than 14 million records in the United States, and an estimated 30 million worldwide. VH1 ranked Soundgarden at number 14 in their special 100 Greatest Artists of Hard Rock."
Indie Pop,,"San Diego, California",,"TV Girl is an American indie pop band that was formed in 2010 in San Diego, California. The band consists of Brad Petering on vocals and production, along with his collaborator Jason Wyman. Known for their catchy and nostalgic sound, TV Girl has gained a dedicated fanbase over the years.

Their music is heavily influenced by samples from old records and movies, and they often incorporate witty and humorous lyrics into their songs. The band's early work gained attention on music blogs and online forums, leading to a deal with independent label, Small Plates Records. They released their debut EP, ""TV Girl EP,"" in 2012, which included the popular tracks ""If You Want It"" and ""Girls Like Me.""

TV Girl released their first full-length album, ""French Exit,"" in 2014. The album received positive reviews from critics, with many praising the band's ability to mix lo-fi production with infectious pop hooks. Their second album, ""Who Really Cares,"" was released in 2016 and continued to showcase the band's unique style.

Since then, TV Girl has continued to release new music and tour extensively. They have gained a reputation for their energetic and engaging live shows, and have shared the stage with acts such as Tennis and Soko. In 2021, the band released their most recent album, ""The Night in Question: French Exit Outtakes,"" which included previously unreleased material from the ""French Exit"" recording sessions.

Overall, TV Girl is a band that has captured the hearts of many indie pop fans with their clever lyrics, memorable melodies, and charmingly lo-fi sound."
Trip Hop,Urban/R&B,"Higashinada-ku, Kobe, Japan",,"George Kusunoki Miller (born 18 September 1992), better known by his stage name Joji and formerly by his online aliases Filthy Frank and Pink Guy, is a Japanese singer-songwriter, record producer, author, and former Internet personality, YouTuber, and comedian.

Miller's start as an entertainer began on his 3 now defunct YouTube channels: DizastaMusic, TVFilthyFrank, and TooDamnFilthy. They consisted of rap songs, swearing, rants, extreme challenges, ukulele performances and a shock humor show titled The Filthy Frank Show, with most of the main characters played by Miller, including the titular character of Filthy Frank. To complement his TVFilthyFrank channel, Miller produced comedy hip hop music under his Pink Guy alias, who is also a zentai-wearing recurring character on The Filthy Frank Show, with his songs featured on the show and his discography spanning two full-length projects and an extended play. Miller's videos had widespread impact, including starting a viral dance craze known as the Harlem Shake, which was directly responsible for the debut of Baauer's ""Harlem Shake"" song atop the Billboard Hot 100. Many YouTube personalities have made major or cameo appearances on The Filthy Frank Show, including h3h3Productions, iDubbbz, JonTron, Michael Stevens, and PewDiePie.

In December 2017, Miller stated he had retired the channel to focus on his music career, under the name Joji, producing more nuanced and serious music, releasing the EP In Tongues, which peaked at number 58 on the Billboard 200, and his debut studio album Ballads 1, which reached number 1 on Billboard's top R&B and hip-hop chart in November 2018. With this, Miller became the first Asian-born artist to do so. Miller's music has been described as a mix between R&B, lo-fi and trip hop."
Indie Rock,,"Iloilo City, Philippines",,"Beatrice Laus (born 3 June 2000), known professionally as beabadoobee stylized in all lowercase), is a Filipino-British singer-songwriter. From 2018 to 2019, she released four extended plays under the independent label Dirty Hit: Lice (2018), Patched Up (2018), Loveworm (2019) and Space Cadet (2019). Her debut studio album, Fake It Flowers, was released in October 2020 to critical acclaim.
Beabadoobee served as a supporting act for labelmates the 1975 during several legs of their Music for Cars Tour, as well as American singer Clairo during her Immunity Tour. She was nominated for the Rising Star Award at the 2020 Brit Awards, and was presented with the Radar Award at the 2020 NME Awards. Beabadoobee was also predicted as a breakthrough act for 2020 in an annual BBC poll of music critics, Sound of 2020."
Indie Pop,Rock/Pop,"New York City, USA",,"Shane Michael Boose (born July 5, 2005), known professionally as Sombr (stylized in all lowercase), is an American singer, songwriter and producer. He released his debut single ""Nothing Left to Say"" in 2021 and his first extended play (EP) In Another Life in 2023, through Warner Records and his own imprint SMB.

In 2025, Sombr's singles ""Back to Friends"" and ""Undressed"" gained virality on the video-sharing app TikTok and became his breakout hits, leading to his first appearances on multiple record charts, including reaching the top 40 of the Billboard Hot 100. Internationally, both songs have gained notable success as well, including in Australia, Ireland, New Zealand, Norway, Sweden, and the United Kingdom. His debut studio album I Barely Know Her, which includes both ""Back to Friends"" and ""Undressed"" and two follow-up singles ""We Never Dated"" and ""12 to 12"", was released on August 22, 2025."
Alternative Rock,Rock/Pop,"Bowling Green, USA",,"Cage the Elephant is an American rock band from Bowling Green, Kentucky that formed in 2006. They relocated to London, England in 2008 before their first album was released. The band currently consists of lead vocalist Matt Shultz, rhythm guitarist Brad Shultz, lead guitarist Nick Bockrath, guitarist, and keyboardist Matthan Minster, bassist Daniel Tichenor, and drummer Jared Champion. Lincoln Parish served as the band's lead guitarist from their formation in 2006 until December 2013, when he left on good terms to pursue a career in producing.

The band's first album, Cage the Elephant, was released in 2008 to much success, spawning several successful radio singles and gained the band a large following in both the United States and the United Kingdom. It was influenced by classic rock, funk, and blues music.

The band's second album, Thank You, Happy Birthday, was heavily influenced by punk rock as well as bands such as Pixies and Nirvana. The band's third album, Melophobia, was the band's concerted effort to find its own distinct musical identity. Melophobia earned the group a Grammy Award nomination in 2015 for Best Alternative Music Album.

Cage the Elephant's fourth album, Tell Me I'm Pretty, produced by Dan Auerbach, was released on December 18, 2015. The album won the award for Best Rock Album at the 59th Annual Grammy Awards.

The band released a live album, Unpeeled, on July 28, 2017. Their fifth studio album, Social Cues, was released on April 19, 2019. On November 20, 2019, it was announced that Social Cues had been nominated for the Grammy for Best Rock Album in the 62nd Grammy Awards."
Country,Country,"Sneedville, Tennessee, USA",,"Morgan Wallen (born May 13, 1993 in Sneedville, Tennessee) is an American country music artist. He signed with Big Loud Records and released an extended play and a single, ""The Way I Talk."" His father was a preacher, and as a child, Wallen took piano and violin lessons. He played baseball in college, but chose to look for music instead after an injury. In 2014, he competed in season 6 of The Voice, but was eliminated.
At the end of 2016, Wallen signed with Big Loud Records, a label owned by record producer Joey Moi. He released his debut single ""The Way I Talk"" shortly after. In addition, he co-wrote the single ""Preachin 'to the Choir of A Thousand Horses."" In April 2017, Wallen released a music video for ""The Way I Talk"". She also joined the Florida Georgia Line to set dates on her Dig Your Roots Tour. He’s a passionate singer with a unique sound who grew up in Appalachia, and you’ll be hearing Morgan Wallen before 2016 is over. Wallen moved to Nashville in July 2015, not sure what he would find, but convinced that he should at least give his dreams a legitimate shot. Less than a year later, he’d already been signed to Big Loud Records, recorded some initial tracks with producer Joey Moi (Florida Georgia Line, Jake Owen) and hit the road on his first radio promotion tour.
It might appear that Wallen’s on the fast track, but it took him a while to get there. Born in Sneedville, Tennessee (a town that also lays claim as the birthplace of bluegrass pioneer Jimmy Martin), to a hard-rock-lovin’ preacher and contemporary-Christian-devoted teacher, Wallen showed his musical interests early, singing in front of the local congregation at age three and asking for a violin for his fifth birthday. He would soon switch to piano and later add guitar to his arsenal, though he never really imagined it was possible to make a career of it.
“I didn’t think that was realistic because I had no clue about how the music business worked,” Wallen says. “Even living three hours away, I had no idea about Nashville.”
Instead, he focused his efforts on baseball, and he was pretty good at it. Playing shortstop and pitcher for Gibbs High School in Corryton, the same school where Kenny Chesney graduated. Wallen earned an offer to continue playing at a major college.
But fate intervened. While pitching during his senior year, he felt a pop in his right elbow and would undergo a tendon replacement procedure. While he was able to continue playing guitar and piano, it proved to be the end of his baseball career.
“Looking back, I’m glad it happened the way it did, because I really actually loved music more than I ever did baseball,” he says.
The kind of music almost didn’t matter. Rock, hip-hop, country – he loved it all, particularly the emotional connection that it created between the musician and the listener. But when he wrote, the music was invariably country.
“Writing music was a way for me to get my feelings out,” he says. “I don’t really express my feelings very much, and I guess it was just a way for me to let some of that go. It’s my safe place.”
His mother signed him up to audition for NBC’s The Voice, convinced that he’d do well. Wallen had no idea what to expect – he’d never seen the show – but he was chosen by Usher and was later stolen by Adam Levine. The last song he performed during his run, a cover of Florida Georgia Line’s “Stay,” helped him steer him toward his creative destiny.
“Honestly, I was just trying to figure out who I was,” he reflects. “I was trying to figure out me as a person, me as an artist. It was one way to do it.”
During his time in California, Wallen met Sergio Sanchez, the lead singer and writer for Jive Records’ hard-rock band Atom Smash. While Sanchez initially served as Wallen’s vocal coach, they hit it off and started co-writing regularly in Knoxville. Armed with new music, Wallen and Sanchez moved to Nashville and became ingrained in the city’s music community. From there, things moved quickly. Wallen’s managers, Dirk Hemsath and Mike Bachta of Working Group Artist Management, set him up to play for William Morris Endeavor’s Kevin Neal, agent for Jason Aldean and Florida Georgia Line. Neal signed him on the spot. Hemsath and Bachta next sent demos to Big Loud Shirt’s Seth England, hoping to land some co-writing opportunities with songwriters at the publishing company. England was so impressed that he brought Morgan in to audition for his partners in Big Loud Records: Craig Wiseman, Clay Hunnicutt, Kevin “Chief” Zaruk and Joey Moi. They signed Wallen to both the label and the publishing company.
Wallen started woodshedding as a songwriter, working with the likes of Wiseman (“Live Like You Were Dying”), Rodney Clawson (“Dirt”), Chris Tompkins (“Drunk On A Plane”), the Warren Brothers (“Highway Don’t Care”), Tommy Cecil (“Home Alone Tonight”) and Matt Dragstrem (“Sippin’ On Fire”). Meanwhile, Big Loud proved that it was big-league – while Wallen worked on his own music, the label’s first-ever single, Chris Lane’s “Fix,” went into the Top 15 and continued climbing, an unheard-of start for a brand-new label.
Wallen hopes to build a similar story. He headed out on a promotion tour of radio stations in the summer of 2016, giving him a chance to start playing for people again after spending so much of the previous year in writing rooms and the recording studio. The end goal is to be on a stage, making that emotional connection with his distinctive sound. But it takes time to get there.
“We’ve just really been trying to get the focus on the music,” he says. “If we don’t have that, then there’s no point in playing.”"
